Time[s], sclk, sdo
0.000000000000000, 0, 0
9.509465166666667, 1, 0
9.509466166666668, 0, 0
9.509467166666667, 1, 0
9.509468166666668, 0, 0
9.509469166666667, 1, 0
9.509470166666667, 0, 0
9.509471166666668, 1, 0
9.509472166666667, 0, 0
9.509473166666668, 1, 0
9.509474166666667, 0, 0
9.509475166666666, 1, 0
9.509476166666667, 0, 0
9.509477166666667, 1, 0
9.509478166666668, 0, 0
9.509479166666667, 1, 0
9.509480166666668, 0, 0
9.509481166666667, 1, 0
9.509482166666666, 0, 0
9.509483166666667, 1, 0
9.509484166666667, 0, 0
9.509485166666668, 1, 0
9.509486166666667, 0, 0
9.509487166666668, 1, 0
9.509488166666667, 0, 0
9.509489166666667, 1, 0
9.509490166666668, 0, 0
9.509491166666667, 1, 0
9.509492166666668, 0, 0
9.509493166666667, 1, 0
9.509494166666666, 0, 0
9.509495166666667, 1, 0
9.509496166666667, 0, 0
9.509497166666668, 1, 0
9.509498166666667, 0, 0
9.509499166666668, 1, 0
9.509500166666667, 0, 0
9.509501166666666, 1, 0
9.509502166666667, 0, 0
9.509503166666667, 1, 0
9.509504166666668, 0, 0
9.509505166666667, 1, 0
9.509506166666668, 0, 0
9.509507166666667, 1, 0
9.509508166666667, 0, 0
9.509509166666668, 1, 0
9.509510166666667, 0, 0
9.509511166666668, 1, 0
9.509512166666667, 0, 0
9.509513166666668, 1, 0
9.509514166666667, 0, 0
9.509515166666667, 1, 0
9.509516166666668, 0, 0
9.509517166666667, 1, 0
9.509518166666668, 0, 0
9.509519166666667, 1, 0
9.509520166666666, 0, 0
9.509521166666667, 1, 0
9.509522166666667, 0, 0
9.509523166666668, 1, 0
9.509524166666667, 0, 0
9.509525166666668, 1, 0
9.509526166666667, 0, 0
9.509527166666667, 1, 0
9.509528166666668, 0, 0
9.509528416666667, 0, 1
9.509529166666667, 1, 1
9.509530166666668, 0, 1
9.509531166666667, 1, 1
9.509532166666668, 0, 1
9.509533166666667, 1, 1
9.509534166666667, 0, 1
9.509535166666668, 1, 1
9.509536166666667, 0, 1
9.509537166666668, 1, 1
9.509538166666667, 0, 1
9.509539166666666, 1, 1
9.509540166666667, 0, 1
9.509541166666667, 1, 1
9.509542166666668, 0, 1
9.509543166666667, 1, 1
9.509544166666668, 0, 0
9.509545166666667, 1, 0
9.509546166666667, 0, 0
9.509547166666668, 1, 0
9.509548166666667, 0, 0
9.509549166666668, 1, 0
9.509550166666667, 0, 0
9.509551166666668, 1, 0
9.509552166666667, 0, 0
9.509553166666667, 1, 0
9.509554166666668, 0, 0
9.509555166666667, 1, 0
9.509556166666668, 0, 0
9.509557166666667, 1, 0
9.509558166666666, 0, 0
9.509559166666667, 1, 0
9.509560166666667, 0, 0
9.509561166666668, 1, 0
9.509562166666667, 0, 0
9.509563166666668, 1, 0
9.509564166666667, 0, 0
9.509565166666667, 1, 0
9.509566166666668, 0, 0
9.509567166666667, 1, 0
9.509568166666668, 0, 0
9.509569166666667, 1, 0
9.509570166666668, 0, 0
9.509571166666667, 1, 0
9.509572166666667, 0, 0
9.509573166666668, 1, 0
9.509574166666667, 0, 0
9.509575166666668, 1, 0
9.509576166666667, 0, 0
9.509577166666666, 1, 0
9.509578166666667, 0, 0
9.509579166666667, 1, 0
9.509580166666668, 0, 0
9.509581166666667, 1, 0
9.509582166666668, 0, 0
9.509583166666667, 1, 0
9.509584166666667, 0, 0
9.509585166666668, 1, 0
9.509586166666667, 0, 0
9.509587166666668, 1, 0
9.509588166666667, 0, 0
9.509589166666668, 1, 0
9.509590166666667, 0, 1
9.509591166666667, 1, 1
9.509592166666668, 0, 0
9.509593166666667, 1, 0
9.509594166666668, 0, 0
9.509595166666667, 1, 0
9.509596166666666, 0, 0
9.509597166666667, 1, 0
9.509598166666667, 0, 0
9.509599166666668, 1, 0
9.509600166666667, 0, 0
9.509601166666668, 1, 0
9.509602166666667, 0, 0
9.509603166666666, 1, 0
9.509604166666668, 0, 0
9.509605166666667, 1, 0
9.509606166666668, 0, 0
9.509607166666667, 1, 0
9.509608166666668, 0, 0
9.509609166666667, 1, 0
9.509610166666667, 0, 0
9.509611166666668, 1, 0
9.509612166666667, 0, 0
9.509613166666668, 1, 0
9.509614166666667, 0, 0
9.509615166666666, 1, 0
9.509616166666667, 0, 0
9.509617166666667, 1, 0
9.509618166666668, 0, 0
9.509619166666667, 1, 0
9.509620166666668, 0, 0
9.509621166666667, 1, 0
9.509622166666666, 0, 0
9.509623166666668, 1, 0
9.509624166666667, 0, 0
9.509625166666668, 1, 0
9.509626166666667, 0, 0
9.509627166666668, 1, 0
9.509628166666667, 0, 0
9.509629166666667, 1, 0
9.509630166666668, 0, 0
9.509631166666667, 1, 0
9.509632166666668, 0, 0
9.509633166666667, 1, 0
9.509634166666666, 0, 0
9.509635166666667, 1, 0
9.509636166666667, 0, 0
9.509637166666668, 1, 0
9.509638166666667, 0, 0
9.509639166666668, 1, 0
9.509640166666667, 0, 0
9.509641166666666, 1, 0
9.509642166666668, 0, 0
9.509643166666667, 1, 0
9.509644166666668, 0, 0
9.509645166666667, 1, 0
9.509646166666668, 0, 0
9.509647166666667, 1, 0
9.509648166666667, 0, 0
9.509649166666668, 1, 0
9.509650166666667, 0, 0
9.509651166666668, 1, 0
9.509652166666667, 0, 0
9.509653166666666, 1, 0
9.509654166666667, 0, 0
9.509655166666667, 1, 0
9.509656166666668, 0, 0
9.509657166666667, 1, 0
9.509658166666668, 0, 0
9.509659166666667, 1, 0
9.509660166666666, 0, 0
9.509661166666667, 1, 0
9.509662166666667, 0, 0
9.509663166666668, 1, 0
9.509664166666667, 0, 0
9.509665166666668, 1, 0
9.509666166666667, 0, 0
9.509667166666667, 1, 0
9.509668166666668, 0, 0
9.509669166666667, 1, 0
9.509670166666668, 0, 0
9.509671166666667, 1, 0
9.509672166666666, 0, 0
9.509673166666667, 1, 0
9.509674166666667, 0, 0
9.509675166666668, 1, 0
9.509676166666667, 0, 0
9.509677166666668, 1, 0
9.509678166666667, 0, 0
9.509679166666666, 1, 0
9.509680166666667, 0, 0
9.509681166666667, 1, 0
9.509682166666668, 0, 0
9.509683166666667, 1, 0
9.509684166666668, 0, 0
9.509685166666667, 1, 0
9.509686166666667, 0, 0
9.509687166666668, 1, 0
9.509688166666667, 0, 0
9.509689166666668, 1, 0
9.509690166666667, 0, 0
9.509691166666666, 1, 0
9.509692166666667, 0, 0
9.509693166666667, 1, 0
9.509694166666668, 0, 0
9.509695166666667, 1, 0
9.509696166666668, 0, 0
9.509697166666667, 1, 0
9.509698166666666, 0, 0
9.509699166666667, 1, 0
9.509700166666667, 0, 0
9.509701166666668, 1, 0
9.509702166666667, 0, 0
9.509703166666668, 1, 0
9.509704166666667, 0, 0
9.509705166666667, 1, 0
9.509706166666668, 0, 0
9.509707166666667, 1, 0
9.509708166666668, 0, 0
9.509709166666667, 1, 0
9.509710166666668, 0, 0
9.509711166666667, 1, 0
9.509712166666667, 0, 0
9.509713166666668, 1, 0
9.509714166666667, 0, 0
9.509715166666668, 1, 0
9.509716166666667, 0, 0
9.509717166666666, 1, 0
9.509718166666667, 0, 0
9.509719166666667, 1, 0
9.509720166666668, 0, 0
9.509721166666667, 1, 0
9.509722166666668, 0, 0
9.509723166666667, 1, 0
9.509724166666667, 0, 0
9.509725166666668, 1, 0
9.509726166666667, 0, 0
9.509727166666668, 1, 0
9.509728166666667, 0, 0
9.509729166666668, 1, 0
9.509730166666667, 0, 0
9.509731166666667, 1, 0
9.509732166666668, 0, 0
9.509733166666667, 1, 0
9.509734166666668, 0, 0
9.509735166666667, 1, 0
9.509736166666666, 0, 0
9.509737166666667, 1, 0
9.509738166666667, 0, 0
9.509739166666668, 1, 0
